Seed,Name,Perfection,Shield Strength,Health,LS Tanks,SP Power,Drain,Sprint
35054,Salvaged Stasis Tank,0.026,,,,,8%,
35055,Watery Exhaust,0.09,25%,,13%,,,
35056,Crimson Capacitor,0.31,31%,33%,,,8%,15%
35057,Rescued Load Balancer,0.088,,,10%,,22%,
35058,Relinquished Loom,0.075,,33%,16%,4%,6%,
35059,Doomed Bulwark,0.181,31%,,,4%,6%,16%
35060,Extinguished Dynamo,0.24,34%,,,,,
35061,Crimson Dampener,0.013,,,,,7%,
35062,Anomalous Filter,0.25,,33%,,,,
35063,Impossible Generator,0,,,5%,,,
35064,Writhing Regulator,0.25,,33%,,,,
35065,Relinquished Turbine,0.25,,33%,,,,
35066,Released Dynamo,0.149,11%,33%,,,,23%
35067,Impossible Harmoniser,0.138,,,,,,37%
35068,Forsaken Diffuser,0.007,,,8%,,,
35069,Writhing Shield Tanks,0.021,13%,,,,,10%
35070,Released Heat Sink,0.224,,,,,,54%
35071,Anointed Capacitor,0.01,,,9%,,,
35072,Nanite-Marked Harvester,0.306,33%,,,,10%,
35073,Nanite-Marked Load Balancer,0.459,,,105%,,10%,12%
35074,Aeronic Dynamo,0.22,32%,,,,,
35075,Glassy Loom,0.25,32%,33%,19%,,6%,
35076,Watery Energy Field,0.013,,,,,7%,
35077,Rescued Bulwark,0.045,,,19%,3%,,
35078,Anomalous Filter,0.12,,,,,20%,12%
35079,Salvaged Regulator,0.219,,,,,,53%
35080,Forsaken Load Balancer,0.23,,,73%,15%,,
35081,Polymorphous Dynamo,0.2,30%,,,,,
35082,Cursed Bulwark,0.219,,,,,,53%
35083,Doomed Load Balancer,0.25,,33%,,,,
35084,Writhing Shield Tanks,0.25,,33%,,,,
35085,Nanite-Marked Harvester,0.245,,,107%,,,
35086,Crimson Turbine,0.261,,,45%,,6%,30%
35087,Salvaged Stasis Tank,0.1,,,,2%,23%,
35088,Nanite-Marked Heat Sink,0.25,,33%,,,,
35089,Haunted Energy Field,0.25,,33%,,,,
35090,Impossible Harvester,0.09,19%,,,,,
35091,Writhing Dynamo,0.25,,33%,,,,
35092,Nanite-Marked Dampener,0.25,,33%,,,,
35093,Glassy Exhaust,0.209,,,92%,,,
35094,Relinquished Stasis Tank,0.204,31%,,20%,,6%,14%
35095,Released Turbine,0.003,,,,2%,,
35096,Glassy Dampener,0.25,,33%,,,,
35097,Salvaged Battery,0,,,,,6%,
35098,Watery Heat Sink,0,,,5%,,,
35099,Glassy Turbine,0.054,,,,17%,,
35100,Writhing Turbine,0.08,,33%,,,,17%
35101,Doomed Capacitor,0.015,,,,,,13%
35102,Writhing Harvester,0.186,,,,56%,,
35103,Salvaged Heat Sink,0.25,,33%,,,,
35104,Glassy Generator,0.21,31%,,,,,
35105,Polymorphous Filter,0.243,,,,73%,,
35106,Aeronic Dampener,0.271,,33%,61%,,,
35107,Extinguished Regulator,0.437,20%,33%,26%,58%,,
35108,Doomed Filter,0.285,34%,,,,16%,11%
35109,Impossible Exhaust,0.219,,,,,,53%
35110,Anointed Stabiliser,0.25,,33%,,,,
35111,Polymorphous Stasis Tank,0.061,,,,,,22%
35112,Impossible Load Balancer,0.25,,33%,,,,
35113,Extinguished Regulator,0.04,,33%,,6%,,
35114,Anomalous Filter,0.126,34%,,13%,,,
35115,Impossible Shield Tanks,0,,,,,6%,
35116,Haunted Dampener,0.187,33%,,,,6%,10%
35117,Aeronic Regulator,0.432,,,,,16%,59%
35118,Aeronic Filter,0.169,34%,,17%,6%,,11%
35119,Cursed Stasis Tank,0.323,28%,,,47%,,
35120,Non-compliant Load Balancer,0.042,,33%,,4%,6%,12%
35121,Cursed Turbine,0.24,34%,,,,,
35122,Impossible Stabiliser,0.25,,33%,,,,
35123,Glassy Exhaust,0.226,,,99%,,,
35124,Watery Turbine,0.026,,,,,,15%
35125,Anomalous Energy Field,0.085,,,,18%,,14%
35126,Aeronic Stasis Tank,0.154,,,69%,,,
35127,Anointed Energy Field,0.082,19%,,,,,13%
35128,Cursed Filter,0.303,,,80%,,6%,
35129,Rescued Regulator,0.046,,33%,9%,,6%,13%
35130,Salvaged Harvester,0.01,11%,,,,,
35131,Crimson Capacitor,0.28,,33%,67%,2%,,10%
35132,Rescued Load Balancer,0.03,13%,,,,,
35133,Rescued Dampener,0.002,,,6%,,,
35134,Haunted Turbine,0.524,,33%,,44%,17%,30%
35135,Doomed Generator,0.24,,,,,,57%
35136,Impossible Turbine,0.15,25%,,,,,
35137,Doomed Stasis Tank,0.115,,,,35%,,
35138,Cursed Heat Sink,0.07,17%,,,,,
35139,Nanite-Marked Load Balancer,0.447,34%,33%,64%,8%,,
35140,Released Dampener,0.066,,,,,,23%
35141,Impossible Regulator,0.586,,33%,,63%,,44%
35142,Crimson Harmoniser,0.182,34%,,15%,5%,8%,
35143,Anointed Heat Sink,0.076,13%,33%,,,,
35144,Impossible Dynamo,0.261,,,61%,4%,,30%
35145,Glassy Harmoniser,0,,,5%,,,
35146,Impossible Filter,0.105,,33%,,7%,8%,16%
35147,Relinquished Bulwark,0.563,22%,33%,,,16%,40%
35148,Aeronic Battery,0.065,,33%,,3%,11%,
35149,Nanite-Marked Loom,0.166,,,56%,,,10%
35150,Rescued Harmoniser,0.212,,,93%,,,
35151,Haunted Generator,0.19,,,84%,,,
35152,Salvaged Loom,0.2,,33%,,,,29%
35153,Released Filter,0.25,,33%,,,,
35154,Cursed Capacitor,0.244,34%,,,25%,,
35155,Forsaken Heat Sink,0.107,,,,,,31%
35156,Relinquished Dynamo,0.25,,33%,,,,
35157,Crimson Capacitor,0.24,34%,,,,,
35158,Forsaken Generator,0.09,19%,,,,,
35159,Doomed Diffuser,0.145,,,,,17%,
35160,Rescued Turbine,0.3,,33%,67%,,,
35161,Aeronic Loom,0.097,,33%,,,8%,16%
35162,Non-compliant Loom,0,,,,,6%,
35163,Doomed Filter,0.32,32%,33%,,,8%,15%
35164,Polymorphous Capacitor,0.08,,33%,,,,17%
35165,Watery Heat Sink,0.25,,33%,,,,
35166,Watery Dynamo,0.02,,,,7%,,
35167,Forsaken Load Balancer,0.25,,33%,,,,
35168,Haunted Stabiliser,0.105,,,,32%,,
35169,Watery Shield Tanks,0.189,15%,,40%,2%,7%,
35170,Anointed Loom,0.229,,33%,52%,,,
35171,Haunted Dynamo,0.128,,,,,,35%
35172,Haunted Energy Field,0.25,,33%,,,,
35173,Haunted Energy Field,0.238,31%,33%,,5%,8%,
35174,Rescued Load Balancer,0.24,34%,,,,,
35175,Relinquished Shield Tanks,0.25,,33%,,,,
35176,Impossible Bulwark,0,,,5%,,,
35177,Polymorphous Turbine,0.25,,33%,,,,
35178,Anointed Exhaust,0.128,,,,39%,,
35179,Doomed Loom,0.128,,,21%,,,33%
35180,Polymorphous Stasis Tank,0,,,,,,10%
35181,Forsaken Shield Tanks,0.209,,,92%,,,
35182,Polymorphous Filter,0.06,,,30%,,,
35183,Cursed Stabiliser,0.14,,,41%,,,17%
35184,Doomed Heat Sink,0.125,,,,38%,,
35185,Relinquished Shield Tanks,0.23,33%,,,,,
35186,Nanite-Marked Diffuser,0.053,,,,,10%,
35187,Anointed Harvester,0.076,,,18%,15%,,
35188,Non-compliant Dampener,0.25,,33%,,,,
35189,Nanite-Marked Stasis Tank,0.302,34%,,,10%,12%,21%
35190,Cursed Dampener,0.058,15%,,15%,,,
35191,Watery Exhaust,0.306,34%,,,,9%,
35192,Cursed Load Balancer,0.114,,,,11%,17%,
35193,Anomalous Harmoniser,0.132,,,,,16%,
35194,Aeronic Capacitor,0.14,24%,,,,,
35195,Forsaken Turbine,0.22,,33%,,,,31%
35196,Aeronic Dynamo,0.25,,33%,,,,
35197,Glassy Diffuser,0.22,32%,,,,,
35198,Aeronic Generator,0.063,,33%,,2%,6%,17%
35199,Rescued Generator,0.36,,,93%,,7%,
35200,Relinquished Exhaust,0.033,,33%,,5%,,
35201,Relinquished Battery,0.15,34%,,6%,,7%,13%
35202,Writhing Loom,0.149,,,,45%,,
35203,Crimson Diffuser,0.481,34%,33%,,,,
35204,Polymorphous Battery,0.071,16%,33%,,,,10%
35205,Nanite-Marked Capacitor,0.1,20%,,,,,
35206,Doomed Turbine,0.01,,,9%,,,
35207,Aeronic Loom,0.205,,33%,,34%,,10%
35208,Anointed Diffuser,0.18,32%,,14%,11%,,14%
35209,Glassy Dampener,0.024,,,,8%,,
35210,Crimson Diffuser,0.008,,,7%,2%,,
35211,Relinquished Battery,0.093,,33%,,14%,,
35212,Anointed Regulator,0.495,,33%,99%,,,17%
35213,Glassy Filter,0.224,,,,21%,,45%
35214,Rescued Generator,0.184,34%,,,,,13%
35215,Non-compliant Generator,0,,,,,,10%
35216,Cursed Stasis Tank,0.317,34%,,,,10%,
35217,Polymorphous Turbine,0.122,,,,,,34%
35218,Anointed Regulator,0.098,,,,30%,,
35219,Extinguished Exhaust,0.218,,,33%,13%,,36%
35220,Anointed Heat Sink,0.414,34%,,89%,5%,,
35221,Doomed Filter,0.065,18%,,,,6%,10%
35222,Forsaken Loom,0.049,,33%,,,7%,
35223,Watery Stasis Tank,0.152,,,,14%,21%,
35224,Salvaged Stabiliser,0.017,,,12%,,,
35225,Aeronic Dampener,0.224,,,,,23%,
35226,Cursed Dynamo,0.038,,33%,12%,,,
35227,Forsaken Filter,0.018,,33%,6%,,7%,
35228,Crimson Loom,0.053,,,,,10%,
35229,Writhing Exhaust,0.533,,,63%,72%,17%,
35230,Salvaged Heat Sink,0.145,34%,,7%,,7%,11%
35231,Impossible Loom,0.179,,,,,,45%
35232,Polymorphous Harvester,0.21,31%,,,,,
35233,Relinquished Load Balancer,0.25,,33%,,,,
35234,Extinguished Dynamo,0.062,,,31%,,,
35235,Polymorphous Battery,0.386,14%,,101%,6%,,
35236,Glassy Capacitor,0.158,,,,,,41%
35237,Crimson Diffuser,0.25,,33%,,,,
35238,Crimson Energy Field,0.25,,33%,,,,
35239,Non-compliant Bulwark,0.166,,,74%,,,
35240,Doomed Generator,0.179,,,,9%,,46%
35241,Cursed Dampener,0.873,26%,33%,,69%,25%,
35242,Polymorphous Harvester,0.041,,,,,,18%
35243,Aeronic Stasis Tank,0.25,,33%,,,,
35244,Forsaken Energy Field,0.572,,,73%,75%,,41%
35245,Polymorphous Dampener,0.193,,,,58%,,
35246,Relinquished Battery,0.483,,33%,,33%,16%,36%
35247,Salvaged Harmoniser,0.25,,33%,,,,
35248,Cursed Shield Tanks,0.26,32%,,,,11%,15%
35249,Salvaged Stabiliser,0.093,,,20%,3%,8%,14%
35250,Released Exhaust,0.481,34%,33%,,,,
35251,Cursed Battery,0.082,,,39%,,,
35252,Haunted Filter,0,,,5%,,,
35253,Aeronic Shield Tanks,0.097,,,,,,29%
35254,Rescued Stabiliser,0.25,,33%,,,,
35255,Forsaken Load Balancer,0.179,,,20%,,9%,33%
35256,Salvaged Exhaust,0.25,,33%,,,,
35257,Anointed Harvester,0.068,14%,,6%,,,21%
35258,Aeronic Load Balancer,0.211,,,,,22%,
35259,Haunted Energy Field,0.145,,,,44%,,
35260,Cursed Dynamo,0.01,,,9%,,,
35261,Salvaged Stabiliser,0.046,,,5%,,17%,
35262,Relinquished Harmoniser,0.247,,,,74%,,
35263,Doomed Turbine,0.678,32%,33%,,59%,6%,
35264,Released Turbine,0.081,17%,33%,,,,10%
35265,Impossible Harvester,0.211,,,,,22%,
35266,Anomalous Shield Tanks,0.163,23%,,,,,21%
35267,Relinquished Harmoniser,0.24,34%,,,,,
35268,Watery Bulwark,0.115,,33%,20%,,6%,14%
35269,Forsaken Load Balancer,0.186,,,,56%,,
35270,Watery Harvester,0.25,,33%,,,,
35271,Forsaken Energy Field,0.24,34%,,,,,
35272,Rescued Diffuser,0.202,,,89%,,,
35273,Rescued Loom,0.04,14%,,,,,
35274,Anomalous Exhaust,0.388,,,99%,,8%,
35275,Extinguished Diffuser,0.248,34%,33%,18%,,,16%
35276,Extinguished Turbine,0.03,,33%,,,,12%
35277,Watery Shield Tanks,0.143,,,,,,38%
35278,Released Capacitor,0.294,34%,,,,8%,
35279,Polymorphous Harvester,0.074,,,,23%,,
35280,Extinguished Loom,0.25,,33%,,,,
35281,Doomed Dampener,0.117,,,,,6%,26%
35282,Aeronic Heat Sink,0.066,,33%,6%,11%,7%,
35283,Rescued Heat Sink,0.07,17%,,,,,
35284,Anointed Regulator,0.17,27%,,,,,
35285,Aeronic Bulwark,0.317,33%,,,,11%,
35286,Anomalous Stabiliser,0.455,33%,,70%,,8%,
35287,Glassy Regulator,0.192,19%,33%,,,,
35288,Extinguished Bulwark,0.386,,33%,85%,,,
35289,Haunted Harmoniser,0.193,,,34%,,,40%
35290,Rescued Loom,0.24,34%,,,,,
35291,Haunted Load Balancer,0.25,,33%,,,,
35292,Relinquished Diffuser,0.039,,,,,9%,
35293,Doomed Loom,0.226,32%,33%,18%,,,14%
35294,Salvaged Stabiliser,0.157,33%,,,,,10%
35295,Writhing Dynamo,0.14,,33%,20%,11%,,16%
35296,Anointed Battery,0.136,10%,,30%,,8%,
35297,Rescued Capacitor,0.22,27%,33%,,7%,8%,
35298,Anointed Harmoniser,0.118,,,,,15%,
35299,Cursed Loom,0.25,,33%,,,,
35300,Haunted Stabiliser,0,,,,,6%,
35301,Watery Filter,0.129,31%,,7%,10%,,10%
35302,Aeronic Heat Sink,0.026,,,,,,15%
35303,Cursed Shield Tanks,0.149,,,67%,,,
35304,Cursed Capacitor,0.106,,,49%,,,
35305,Released Heat Sink,0.066,,,,,11%,
35306,Rescued Exhaust,0.041,,,22%,,,
35307,Impossible Heat Sink,0.092,,33%,6%,13%,,17%
35308,Released Dampener,0.031,,,,,,16%
35309,Extinguished Heat Sink,0.171,,,,,19%,
35310,Aeronic Harmoniser,0.046,,,5%,,,24%
35311,Doomed Turbine,0.038,,,21%,,,
35312,Cursed Shield Tanks,0.086,,33%,18%,,6%,11%
35313,Anomalous Heat Sink,0.197,,,,,21%,
35314,Relinquished Stasis Tank,0.152,,,,46%,,
35315,Forsaken Stabiliser,0.015,,,,,,13%
35316,Rescued Harmoniser,0.154,31%,,9%,,8%,13%
35317,Salvaged Stasis Tank,0.116,,33%,18%,8%,8%,
35318,Anomalous Exhaust,0.25,,33%,,,,
35319,Doomed Stabiliser,0.186,,,,56%,,
35320,Impossible Dampener,0.24,34%,,,,,
35321,Crimson Dynamo,0.039,,,,,9%,
35322,Forsaken Dynamo,0.323,,33%,,,6%,39%
35323,Anomalous Battery,0.17,,33%,,,,26%
35324,Doomed Bulwark,0,,,,,6%,
35325,Non-compliant Dampener,0.012,,,10%,,,
35326,Cursed Battery,0.06,16%,,,,,
35327,Extinguished Heat Sink,0.182,,,,55%,,
35328,Forsaken Filter,0.126,,,47%,4%,,
35329,Anomalous Generator,0.108,,,27%,,,21%
35330,Anomalous Stasis Tank,0.126,34%,,13%,,,
35331,Extinguished Loom,0.428,,33%,83%,,,19%
35332,Writhing Shield Tanks,0.249,,33%,,,15%,
35333,Rescued Battery,0.25,,33%,,,,
35334,Extinguished Capacitor,0.066,,,,,,23%
35335,Extinguished Stabiliser,0.23,33%,,,,,
35336,Extinguished Dampener,0.179,,,,,,45%
35337,Anomalous Bulwark,0.069,,33%,13%,,7%,12%
35338,Anointed Load Balancer,0.865,,33%,107%,70%,6%,
35339,Writhing Bulwark,0.003,,,,2%,,
35340,Watery Dynamo,0.007,,,,3%,,
35341,Writhing Stasis Tank,0.139,,,17%,22%,,19%
35342,Salvaged Harvester,0.174,,,16%,,,52%
35343,Impossible Generator,0.027,,,,9%,,
35344,Haunted Harmoniser,0.25,,33%,,,,
35345,Aeronic Capacitor,0.245,,,,,,58%
35346,Crimson Diffuser,0.287,,,70%,,,33%
35347,Extinguished Stabiliser,0.048,,,25%,,,
35348,Forsaken Energy Field,0.34,25%,,,41%,,22%
35349,Cursed Harmoniser,0.005,,,,,,11%
35350,Impossible Regulator,0.017,,,12%,,,
35351,Extinguished Exhaust,0.091,,,,28%,,
35352,Glassy Stabiliser,0.205,34%,,15%,10%,8%,
35353,Aeronic Harvester,0.21,31%,,,,,
35354,Aeronic Stasis Tank,0.25,,33%,,,,
35355,Haunted Harvester,0.039,,,,,9%,
35356,Salvaged Exhaust,0.12,,33%,,,,21%
35357,Impossible Battery,0.322,27%,,48%,28%,,
35358,Watery Stabiliser,0.01,,,,,,12%
35359,Impossible Loom,0.25,,33%,,,,
35360,Released Battery,0.117,,,,,,33%
35361,Crimson Shield Tanks,0.41,,,53%,51%,,36%
35362,Writhing Loom,0.114,19%,,20%,,,13%
35363,Anointed Generator,0.142,,,,43%,,
35364,Cursed Dampener,0,,,,,,10%
35365,Relinquished Turbine,0.135,,,61%,,,
35366,Extinguished Regulator,0.077,,,,,,25%
35367,Rescued Generator,0.232,,33%,29%,,19%,
35368,Salvaged Capacitor,0.481,,33%,105%,,,
35369,Glassy Filter,0.233,,,21%,68%,,
35370,Rescued Bulwark,0.105,,,,32%,,
35371,Writhing Load Balancer,0.13,34%,,14%,,,
35372,Rescued Exhaust,0.487,,33%,83%,,8%,
35373,Released Load Balancer,0.176,34%,,,5%,6%,11%
35374,Rescued Stasis Tank,0.013,,,,,7%,
35375,Polymorphous Diffuser,0.013,,,,,7%,
35376,Forsaken Bulwark,0.128,,,17%,,25%,
35377,Rescued Bulwark,0.132,30%,,14%,,,12%
35378,Nanite-Marked Shield Tanks,0.081,,,,25%,,
35379,Watery Load Balancer,0.158,,,,,18%,
35380,Impossible Battery,0.172,,,,52%,,
35381,Rescued Generator,0.213,31%,,20%,11%,7%,
35382,Salvaged Energy Field,0.017,,,,6%,,
35383,Watery Exhaust,0.013,,,,,7%,
35384,Anomalous Heat Sink,0.288,31%,33%,,,7%,14%
35385,Rescued Heat Sink,0.149,,33%,,,11%,
35386,Glassy Shield Tanks,0.488,,33%,,44%,23%,
35387,Doomed Energy Field,0.258,34%,33%,,10%,,14%
35388,Extinguished Exhaust,0.22,32%,,,,,
35389,Aeronic Turbine,0.036,,,,,,17%
35390,Crimson Stasis Tank,0.208,,,,,23%,21%
35391,Doomed Harvester,0.102,28%,,13%,,,
35392,Haunted Harmoniser,0.205,33%,,14%,,8%,16%
35393,Watery Turbine,0.118,,,,,15%,
35394,Salvaged Shield Tanks,0.203,32%,33%,18%,6%,,
35395,Writhing Diffuser,0.204,34%,33%,,4%,,12%
35396,Cursed Filter,0.43,,33%,,,,52%
35397,Cursed Regulator,0.343,,,,,6%,57%
35398,Relinquished Filter,0.192,,33%,,18%,12%,
35399,Doomed Harvester,0.25,,33%,,,,
35400,Rescued Shield Tanks,0.211,,,,,22%,
35401,Nanite-Marked Dampener,0.25,,33%,,,,
35402,Impossible Stabiliser,0.015,,,,,7%,11%
35403,Relinquished Load Balancer,0,,,5%,,,
35404,Impossible Battery,0.319,32%,,,42%,,
35405,Forsaken Turbine,0.25,,33%,,,,
35406,Anomalous Stasis Tank,0.18,28%,,,,,
35407,Impossible Loom,0.091,,,,28%,,
35408,Non-compliant Dynamo,0.257,32%,33%,,,6%,11%
35409,Watery Harmoniser,0.333,,,83%,,,34%
35410,Glassy Regulator,0.663,28%,,101%,,23%,
35411,Glassy Exhaust,0.02,,33%,,,,11%
35412,Nanite-Marked Battery,0.16,28%,33%,,3%,,
35413,Forsaken Stasis Tank,0.171,,,,,19%,
35414,Forsaken Shield Tanks,0.091,,,,28%,,
35415,Salvaged Loom,0.179,,,,,,45%
35416,Released Loom,0.189,,,57%,,,16%
35417,Salvaged Harmoniser,0.005,,,,,,11%
35418,Forsaken Shield Tanks,0.039,,,,,9%,
35419,Haunted Heat Sink,0.101,,,47%,,,
35420,Impossible Stabiliser,0.18,28%,,,,,
35421,Relinquished Dampener,0.003,,,,2%,,
35422,Extinguished Dynamo,0.14,24%,,,,,
35423,Glassy Filter,0.197,,,,,21%,
35424,Released Turbine,0.101,,33%,16%,6%,,16%
35425,Relinquished Filter,0.236,,,,71%,,
35426,Aeronic Load Balancer,0.066,,,,,11%,
35427,Extinguished Energy Field,0.105,,,,,14%,
35428,Anointed Regulator,0.194,,,24%,51%,,
35429,Polymorphous Regulator,0.25,,33%,,,,
35430,Extinguished Turbine,0.061,,,,,,22%
35431,Impossible Regulator,0.196,,,,59%,,
35432,Anointed Filter,0.212,34%,,,7%,9%,
35433,Polymorphous Stabiliser,0.386,,,100%,8%,6%,
35434,Rescued Battery,0.25,,33%,,,,
35435,Extinguished Energy Field,0.182,16%,,,,,31%
35436,Forsaken Diffuser,0.543,,33%,,47%,6%,41%
35437,Polymorphous Diffuser,0.017,,,12%,,,
35438,Salvaged Diffuser,0.25,,33%,,,,
35439,Rescued Capacitor,0.12,22%,,,,,
35440,Glassy Turbine,0.25,,33%,,,,
35441,Forsaken Exhaust,0.372,33%,,,5%,6%,45%
35442,Crimson Dynamo,0.048,,,25%,,,
35443,Nanite-Marked Stabiliser,0.053,,,27%,,,
35444,Salvaged Capacitor,0.193,27%,,,22%,,
35445,Haunted Harmoniser,0.02,,,,7%,,
35446,Haunted Filter,0.012,,,6%,,8%,
35447,Forsaken Filter,0.003,,,,2%,,
35448,Nanite-Marked Harvester,0.053,,,,,10%,
35449,Anointed Diffuser,0.005,,,,,,11%
35450,Anomalous Stasis Tank,0.209,,,,63%,,
35451,Released Harvester,0.733,34%,33%,,,25%,
35452,Aeronic Stabiliser,0.022,,,14%,,,
35453,Anointed Filter,0.233,,,102%,,,
35454,Non-compliant Filter,0.057,12%,33%,,,,
35455,Released Energy Field,0.25,,33%,,,,
35456,Watery Turbine,0.029,,,17%,,,
35457,Non-compliant Shield Tanks,0.068,,,,21%,,
35458,Non-compliant Harvester,0.138,,,,,,37%
35459,Relinquished Filter,0.244,34%,33%,16%,,6%,
35460,Extinguished Load Balancer,0.224,,33%,,,14%,
35461,Doomed Bulwark,0.022,,,14%,,,
35462,Salvaged Filter,0.105,,,23%,,,24%
35463,Haunted Bulwark,0.039,,,,,9%,
35464,Extinguished Harvester,0.278,,,70%,,,30%
35465,Glassy Battery,0.25,,33%,,,,
35466,Rescued Turbine,0.013,,,,,7%,
35467,Haunted Stasis Tank,0.079,,,38%,,,
35468,Polymorphous Dampener,0,,,5%,,,
35469,Glassy Harmoniser,0.255,34%,33%,,5%,7%,
35470,Salvaged Battery,0.058,,,29%,,,
35471,Salvaged Harvester,0.189,,,,,,47%
35472,Writhing Harmoniser,0.003,,,,2%,,
35473,Released Bulwark,0.45,,,105%,,17%,
35474,Glassy Harvester,0.22,,,,66%,,
35475,Salvaged Dynamo,0.003,,,5%,2%,,
35476,Writhing Energy Field,0.39,,33%,,,,48%
35477,Anointed Stasis Tank,0.145,,,,44%,,
35478,Aeronic Battery,0.007,,,8%,,,
35479,Anomalous Battery,0.216,,33%,6%,22%,,36%
35480,Extinguished Regulator,0.326,,,24%,15%,13%,50%
35481,Anomalous Exhaust,0.139,,,,42%,,
35482,Haunted Filter,0.45,26%,33%,,,,38%
35483,Nanite-Marked Heat Sink,0.163,19%,,38%,,,
35484,Crimson Generator,0.322,20%,,41%,13%,,33%
35485,Released Turbine,0.051,,,,16%,,
35486,Cursed Diffuser,0.414,34%,33%,,,6%,
35487,Extinguished Capacitor,0.227,26%,,,3%,23%,
35488,Extinguished Harmoniser,0.118,,,,,15%,
35489,Forsaken Stabiliser,0.212,14%,,,12%,22%,14%
35490,Rescued Loom,0.115,,,,35%,,
35491,Extinguished Filter,0.412,,33%,,21%,,57%
35492,Salvaged Shield Tanks,0.061,,,,,,22%
35493,Anointed Dampener,0.25,,33%,,,,
35494,Polymorphous Dynamo,0.185,,,82%,,,
35495,Crimson Stabiliser,0.084,,33%,,5%,8%,15%
35496,Impossible Filter,0.092,,,,,13%,
35497,Crimson Load Balancer,0.25,,33%,,,,
35498,Released Stasis Tank,0.24,34%,,,,,
35499,Haunted Dynamo,0.363,33%,,,6%,18%,30%
35500,Non-compliant Battery,0.245,,,,,,58%
35501,Anointed Heat Sink,0.222,,,15%,70%,,
35502,Haunted Filter,0.01,,,9%,,,
35503,Rescued Shield Tanks,0.061,,,,,,22%
35504,Polymorphous Stabiliser,0.1,20%,,,,,
35505,Glassy Stasis Tank,0.196,34%,,13%,11%,7%,
35506,Anointed Stabiliser,0.251,34%,33%,,10%,,13%
35507,Forsaken Shield Tanks,0.199,,,,60%,,
35508,Forsaken Stasis Tank,0.03,,33%,9%,,6%,
35509,Forsaken Bulwark,0.075,,,36%,,,
35510,Nanite-Marked Shield Tanks,0.161,32%,,9%,8%,,17%
35511,Doomed Harvester,0.25,,33%,,,,
35512,Crimson Battery,0.169,,,,51%,,
35513,Anointed Turbine,0.39,34%,,5%,75%,,10%
35514,Non-compliant Harvester,0.061,,,,19%,,
35515,Crimson Harvester,0.25,,33%,,,,
35516,Extinguished Loom,0.25,,33%,,,,
35517,Nanite-Marked Dynamo,0.25,,33%,,,,
35518,Non-compliant Energy Field,0.228,34%,33%,,6%,,
35519,Polymorphous Dampener,0.01,,,,4%,,
35520,Forsaken Regulator,0.478,23%,33%,74%,,,
35521,Extinguished Stabiliser,0.016,,,,2%,,13%
35522,Forsaken Capacitor,0.427,,,109%,49%,,
35523,Aeronic Capacitor,0.2,30%,,,,,
35524,Haunted Heat Sink,0.21,31%,,,,,
35525,Impossible Battery,0.191,33%,33%,7%,,8%,
35526,Anointed Bulwark,0.25,,33%,,,,
35527,Non-compliant Load Balancer,0.079,,,38%,,,
35528,Rescued Bulwark,0.23,32%,33%,,3%,8%,
35529,Anointed Filter,0.25,,33%,,,,
35530,Haunted Exhaust,0.15,25%,,,,,
35531,Glassy Stasis Tank,0.092,,,,,13%,
35532,Aeronic Capacitor,0.25,,33%,,,,
35533,Released Loom,0,,,,,6%,
35534,Rescued Battery,0.25,,33%,,,,
35535,Anointed Regulator,0.007,,,,3%,,
35536,Salvaged Load Balancer,0.12,,,55%,,,
35537,Relinquished Dynamo,0.31,32%,33%,,,8%,14%
35538,Crimson Generator,0.2,32%,,,8%,8%,12%
35539,Relinquished Load Balancer,0.161,,,72%,,,
35540,Released Capacitor,0.046,,,,,,19%
35541,Polymorphous Heat Sink,0.047,,33%,,7%,,
35542,Haunted Battery,0.153,34%,,8%,6%,,16%
35543,Nanite-Marked Exhaust,0.1,20%,,,,,
35544,Crimson Diffuser,0.23,,,,69%,,
35545,Salvaged Load Balancer,0.071,,,7%,,21%,
35546,Non-compliant Generator,0.25,,33%,,,,
35547,Impossible Dynamo,0.35,,33%,,,19%,
35548,Watery Shield Tanks,0.02,,,,7%,,
35549,Forsaken Exhaust,0.24,34%,,,,,
35550,Extinguished Energy Field,0.25,,33%,,,,
35551,Polymorphous Load Balancer,0.003,,,,2%,,
35552,Forsaken Shield Tanks,0.617,,,93%,14%,11%,56%
35553,Glassy Regulator,0.516,18%,33%,,61%,,
35554,Non-compliant Diffuser,0.475,,33%,,,24%,
35555,Salvaged Capacitor,0.329,33%,,,,12%,
35556,Relinquished Harvester,0.039,,,,,9%,
35557,Glassy Battery,0.17,24%,,,,,21%
35558,Nanite-Marked Regulator,0.414,34%,33%,,,6%,
35559,Polymorphous Generator,0.213,,,,64%,,
35560,Released Battery,0.173,,,,,,44%
35561,Relinquished Generator,0.31,34%,33%,,,8%,12%
35562,Doomed Battery,0,,,,,,10%
35563,Glassy Dampener,0.138,,33%,,7%,16%,
35564,Rescued Stasis Tank,0.196,34%,,18%,6%,,17%
35565,Forsaken Stabiliser,0.216,,,35%,,,46%
35566,Polymorphous Diffuser,0.243,,,,73%,,
35567,Cursed Capacitor,0.371,,33%,82%,,,
35568,Aeronic Dampener,0.306,34%,,,,9%,
35569,Polymorphous Capacitor,0.003,,,,2%,,
35570,Anomalous Stasis Tank,0.216,,,,65%,,
35571,Anomalous Harmoniser,0.426,31%,,64%,,9%,11%
